gini,2,2,Train,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.26
gini,2,2,Test,0.26,0.25,0.25,0.23,0.25,0.25,0.24,0.23,0.24,0.22
gini,2,4,Train,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.26
gini,2,4,Test,0.26,0.25,0.25,0.23,0.25,0.25,0.24,0.23,0.24,0.22
gini,2,8,Train,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.26
gini,2,8,Test,0.26,0.25,0.25,0.23,0.25,0.25,0.24,0.23,0.24,0.22
gini,2,16,Train,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.26
gini,2,16,Test,0.26,0.25,0.25,0.23,0.25,0.25,0.24,0.23,0.24,0.22
gini,2,32,Train,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.26
gini,2,32,Test,0.26,0.25,0.25,0.23,0.25,0.25,0.24,0.23,0.24,0.22
gini,4,2,Train,0.33,0.32,0.33,0.32,0.32,0.33,0.33,0.33,0.33,0.32
gini,4,2,Test,0.26,0.29,0.25,0.28,0.28,0.28,0.27,0.29,0.28,0.28
gini,4,4,Train,0.33,0.32,0.33,0.32,0.32,0.33,0.33,0.33,0.33,0.32
gini,4,4,Test,0.26,0.29,0.25,0.28,0.28,0.28,0.27,0.29,0.28,0.28
gini,4,8,Train,0.33,0.32,0.33,0.32,0.32,0.33,0.33,0.33,0.33,0.32
gini,4,8,Test,0.26,0.29,0.25,0.28,0.28,0.28,0.27,0.29,0.28,0.28
gini,4,16,Train,0.33,0.32,0.33,0.32,0.32,0.33,0.33,0.33,0.33,0.32
gini,4,16,Test,0.26,0.29,0.25,0.28,0.28,0.28,0.27,0.29,0.28,0.28
gini,4,32,Train,0.33,0.31,0.33,0.32,0.32,0.33,0.33,0.33,0.33,0.32
gini,4,32,Test,0.26,0.29,0.25,0.28,0.28,0.28,0.27,0.29,0.28,0.28
gini,8,2,Train,0.51,0.56,0.57,0.57,0.57,0.56,0.56,0.59,0.56,0.55
gini,8,2,Test,0.25,0.25,0.2,0.26,0.26,0.29,0.25,0.25,0.24,0.23
gini,8,4,Train,0.5,0.55,0.57,0.57,0.57,0.55,0.55,0.59,0.55,0.54
gini,8,4,Test,0.23,0.25,0.2,0.26,0.26,0.28,0.24,0.25,0.23,0.24
gini,8,8,Train,0.49,0.54,0.56,0.56,0.56,0.54,0.55,0.58,0.54,0.54
gini,8,8,Test,0.23,0.25,0.19,0.26,0.28,0.27,0.23,0.26,0.24,0.24
gini,8,16,Train,0.48,0.52,0.54,0.53,0.53,0.52,0.53,0.56,0.52,0.52
gini,8,16,Test,0.24,0.25,0.2,0.26,0.28,0.27,0.24,0.25,0.22,0.24
gini,8,32,Train,0.45,0.49,0.51,0.49,0.49,0.49,0.49,0.52,0.48,0.48
gini,8,32,Test,0.25,0.25,0.2,0.25,0.26,0.27,0.22,0.24,0.23,0.25
gini,16,2,Train,0.86,0.96,0.96,0.95,0.96,0.96,0.93,0.98,0.93,0.97
gini,16,2,Test,0.26,0.28,0.24,0.29,0.26,0.23,0.26,0.25,0.26,0.28
gini,16,4,Train,0.82,0.92,0.9,0.91,0.91,0.9,0.88,0.93,0.89,0.92
gini,16,4,Test,0.26,0.27,0.23,0.29,0.25,0.24,0.26,0.22,0.31,0.25
gini,16,8,Train,0.77,0.84,0.85,0.84,0.84,0.84,0.82,0.86,0.83,0.85
gini,16,8,Test,0.26,0.26,0.21,0.28,0.26,0.23,0.26,0.21,0.27,0.24
gini,16,16,Train,0.68,0.74,0.74,0.74,0.74,0.75,0.73,0.76,0.72,0.76
gini,16,16,Test,0.26,0.26,0.24,0.3,0.26,0.24,0.28,0.24,0.27,0.26
gini,16,32,Train,0.59,0.61,0.61,0.62,0.62,0.63,0.6,0.62,0.6,0.62
gini,16,32,Test,0.24,0.25,0.24,0.25,0.24,0.24,0.24,0.24,0.25,0.24
gini,32,2,Train,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
gini,32,2,Test,0.26,0.27,0.21,0.26,0.26,0.25,0.26,0.22,0.27,0.25
gini,32,4,Train,0.94,0.94,0.94,0.95,0.94,0.94,0.94,0.94,0.94,0.94
