DecisionTreeClassifier_MaxDepth1,50
0.11999999999999998,0.16599999999999998,0.104,0.16599999999999998,0.128,0.15399999999999997,0.16199999999999998
0.096,0.33,0.092,0.132,0.12,0.13,0.1
0.10800000000000001,0.156,0.12,0.162,0.11199999999999999,0.222,0.12
0.106,0.14400000000000002,0.106,0.28600000000000003,0.08,0.126,0.152
0.10400000000000001,0.158,0.098,0.14,0.174,0.152,0.174
0.052000000000000005,0.098,0.11800000000000001,0.09,0.054000000000000006,0.486,0.102
0.1,0.134,0.102,0.16399999999999998,0.106,0.15,0.244
DecisionTreeClassifier_MaxDepth1,75
0.138,0.158,0.126,0.15,0.14400000000000002,0.128,0.156
0.10000000000000002,0.32600000000000007,0.10200000000000001,0.11600000000000002,0.10600000000000001,0.11600000000000002,0.13400000000000004
0.122,0.146,0.136,0.14800000000000002,0.122,0.21,0.11599999999999999
0.10800000000000001,0.14800000000000002,0.114,0.28,0.114,0.08800000000000001,0.14800000000000002
0.114,0.152,0.11199999999999999,0.136,0.2,0.11199999999999999,0.174
0.066,0.1,0.12,0.09,0.062,0.45799999999999996,0.10400000000000001
0.102,0.13,0.10400000000000001,0.136,0.134,0.136,0.258
DecisionTreeClassifier_MaxDepth1,100
0.14400000000000002,0.138,0.166,0.15,0.132,0.11,0.16
0.10400000000000001,0.324,0.124,0.11599999999999999,0.102,0.102,0.128
0.11599999999999999,0.14400000000000002,0.14800000000000002,0.136,0.13,0.20600000000000002,0.12
0.106,0.14,0.11599999999999999,0.28600000000000003,0.096,0.08199999999999999,0.174
0.11,0.16,0.128,0.11800000000000001,0.214,0.11800000000000001,0.152
0.07,0.098,0.134,0.078,0.07200000000000001,0.428,0.12
0.102,0.132,0.096,0.158,0.14,0.126,0.24600000000000002
DecisionTreeClassifier_MaxDepth1,125
0.168,0.11199999999999999,0.14800000000000002,0.136,0.158,0.126,0.152
0.126,0.308,0.134,0.114,0.102,0.08,0.136
0.12000000000000002,0.14800000000000002,0.162,0.13400000000000004,0.14200000000000002,0.19800000000000004,0.09600000000000002
0.1,0.136,0.11599999999999999,0.26,0.126,0.08,0.182
0.114,0.14400000000000002,0.122,0.11199999999999999,0.23399999999999999,0.11,0.16399999999999998
0.07,0.066,0.154,0.07200000000000001,0.08,0.43799999999999994,0.12
0.08800000000000001,0.11199999999999999,0.11,0.146,0.154,0.126,0.264
DecisionTreeClassifier_MaxDepth1,150
0.162,0.11800000000000001,0.154,0.16,0.14400000000000002,0.11,0.152
0.11199999999999997,0.322,0.14199999999999996,0.10199999999999998,0.10599999999999998,0.072,0.144
0.11,0.156,0.182,0.12,0.14,0.182,0.11
0.126,0.12,0.11199999999999999,0.262,0.114,0.078,0.188
0.134,0.126,0.152,0.11199999999999999,0.228,0.096,0.152
0.09,0.066,0.168,0.062,0.078,0.43,0.106
0.08800000000000001,0.134,0.126,0.138,0.14400000000000002,0.102,0.268
DecisionTreeClassifier_MaxDepth1,175
0.168,0.11599999999999999,0.152,0.154,0.152,0.114,0.14400000000000002
0.122,0.3,0.158,0.102,0.10800000000000001,0.066,0.14400000000000002
0.126,0.14,0.192,0.11599999999999999,0.138,0.172,0.11599999999999999
0.114,0.114,0.122,0.272,0.13,0.084,0.16399999999999998
0.136,0.106,0.16399999999999998,0.10400000000000001,0.21600000000000003,0.10800000000000001,0.166
0.102,0.076,0.18,0.057999999999999996,0.068,0.41600000000000004,0.1
0.1,0.126,0.138,0.14800000000000002,0.14,0.10400000000000001,0.244
DecisionTreeClassifier_MaxDepth1,200
0.17600000000000002,0.126,0.14,0.158,0.14,0.106,0.154
0.13,0.306,0.142,0.10800000000000001,0.10400000000000001,0.07,0.14
0.112,0.14600000000000002,0.19200000000000003,0.126,0.14200000000000002,0.164,0.11800000000000002
0.11599999999999999,0.124,0.132,0.272,0.12,0.07,0.166
0.158,0.102,0.146,0.11,0.20199999999999999,0.1,0.182
0.1,0.084,0.18,0.07,0.066,0.4,0.1
0.09,0.11199999999999999,0.14400000000000002,0.16399999999999998,0.154,0.1,0.23600000000000002
DecisionTreeClassifier_MaxDepth1,225
0.18600000000000005,0.12800000000000003,0.15200000000000002,0.13400000000000004,0.14800000000000002,0.10600000000000001,0.14600000000000002
0.128,0.312,0.142,0.102,0.11599999999999999,0.064,0.136
0.114,0.14800000000000002,0.17600000000000002,0.114,0.162,0.166,0.12
0.10400000000000001,0.126,0.16,0.272,0.10400000000000001,0.055999999999999994,0.17800000000000002
0.168,0.098,0.16399999999999998,0.10400000000000001,0.22,0.086,0.16
0.094,0.09,0.182,0.068,0.055999999999999994,0.406,0.10400000000000001
0.092,0.102,0.14800000000000002,0.16,0.154,0.086,0.258
DecisionTreeClassifier_MaxDepth1,250
0.202,0.10600000000000001,0.16000000000000003,0.14400000000000002,0.14600000000000002,0.10600000000000001,0.136
0.14600000000000002,0.31600000000000006,0.13400000000000004,0.10200000000000001,0.11600000000000002,0.066,0.12000000000000002
0.10800000000000001,0.142,0.20199999999999999,0.12,0.168,0.152,0.10800000000000001
0.114,0.11199999999999999,0.154,0.262,0.128,0.05,0.18
0.142,0.092,0.174,0.11599999999999999,0.218,0.096,0.162
0.08400000000000002,0.07,0.17400000000000002,0.05800000000000001,0.07400000000000001,0.42800000000000005,0.112
0.11199999999999999,0.098,0.12,0.16399999999999998,0.18,0.07,0.256
DecisionTreeClassifier_MaxDepth1,275
0.2,0.11,0.174,0.142,0.134,0.1,0.14
0.146,0.322,0.14400000000000002,0.10800000000000001,0.098,0.06,0.122
