0.1,450,Test,0.29,0.26,0.28,0.33,0.25,0.27,0.27,0.29,0.32,0.35
0.1,500,Train,0.43,0.45,0.45,0.44,0.43,0.44,0.45,0.43,0.44,0.44
0.1,500,Test,0.3,0.26,0.28,0.31,0.25,0.27,0.29,0.29,0.33,0.35
1.0,50,Train,0.33,0.32,0.32,0.31,0.32,0.32,0.33,0.32,0.32,0.32
1.0,50,Test,0.23,0.24,0.25,0.27,0.23,0.23,0.26,0.23,0.29,0.28
1.0,100,Train,0.37,0.37,0.36,0.36,0.36,0.37,0.36,0.37,0.36,0.36
1.0,100,Test,0.25,0.25,0.21,0.31,0.23,0.24,0.25,0.25,0.27,0.3
1.0,150,Train,0.41,0.4,0.4,0.4,0.41,0.39,0.39,0.38,0.37,0.37
1.0,150,Test,0.25,0.24,0.27,0.3,0.23,0.23,0.27,0.27,0.28,0.29
1.0,200,Train,0.42,0.41,0.42,0.42,0.41,0.42,0.42,0.42,0.41,0.41
1.0,200,Test,0.27,0.23,0.27,0.28,0.21,0.22,0.25,0.27,0.27,0.29
1.0,250,Train,0.44,0.43,0.44,0.45,0.42,0.45,0.45,0.43,0.44,0.42
1.0,250,Test,0.28,0.26,0.27,0.32,0.25,0.22,0.28,0.26,0.27,0.29
1.0,300,Train,0.45,0.46,0.46,0.46,0.45,0.47,0.47,0.45,0.45,0.45
1.0,300,Test,0.31,0.23,0.28,0.31,0.29,0.21,0.26,0.27,0.29,0.29
1.0,350,Train,0.47,0.48,0.48,0.48,0.46,0.48,0.5,0.47,0.47,0.48
1.0,350,Test,0.28,0.24,0.29,0.3,0.28,0.22,0.25,0.27,0.29,0.31
