alpha,max_iter,penalty,type,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10
0.0001,100,l2,Train,0.27,0.26,0.35,0.21,0.28,0.24,0.28,0.21,0.25,0.3
0.0001,100,l2,Test,0.16,0.19,0.25,0.18,0.17,0.2,0.2,0.15,0.18,0.21
0.0001,100,l1,Train,0.39,0.56,0.63,0.34,0.56,0.61,0.49,0.56,0.49,0.52
0.0001,100,l1,Test,0.22,0.27,0.25,0.17,0.26,0.33,0.27,0.22,0.23,0.26
0.0001,100,elasticnet,Train,0.3,0.3,0.2,0.32,0.3,0.28,0.16,0.31,0.2,0.22
0.0001,100,elasticnet,Test,0.26,0.22,0.14,0.18,0.18,0.22,0.15,0.19,0.19,0.17
0.0001,500,l2,Train,0.16,0.17,0.21,0.32,0.27,0.29,0.29,0.27,0.16,0.33
0.0001,500,l2,Test,0.15,0.16,0.19,0.22,0.21,0.29,0.23,0.16,0.15,0.23
0.0001,500,l1,Train,0.58,0.29,0.55,0.56,0.5,0.45,0.51,0.56,0.37,0.55
0.0001,500,l1,Test,0.28,0.23,0.2,0.21,0.16,0.26,0.21,0.27,0.19,0.27
0.0001,500,elasticnet,Train,0.28,0.21,0.36,0.42,0.32,0.35,0.3,0.41,0.21,0.34
0.0001,500,elasticnet,Test,0.23,0.16,0.2,0.2,0.23,0.3,0.21,0.24,0.19,0.22
0.0001,1000,l2,Train,0.27,0.28,0.23,0.27,0.16,0.33,0.23,0.35,0.33,0.16
0.0001,1000,l2,Test,0.23,0.25,0.17,0.19,0.16,0.26,0.18,0.21,0.25,0.16
0.0001,1000,l1,Train,0.59,0.45,0.46,0.38,0.52,0.59,0.47,0.53,0.33,0.51
0.0001,1000,l1,Test,0.31,0.27,0.23,0.19,0.24,0.3,0.24,0.29,0.23,0.22
0.0001,1000,elasticnet,Train,0.32,0.15,0.23,0.31,0.31,0.28,0.31,0.29,0.24,0.28
0.0001,1000,elasticnet,Test,0.21,0.14,0.18,0.21,0.21,0.22,0.21,0.2,0.18,0.18
0.001,100,l2,Train,0.14,0.18,0.17,0.21,0.17,0.18,0.22,0.22,0.15,0.21
0.001,100,l2,Test,0.14,0.17,0.16,0.22,0.15,0.2,0.18,0.15,0.15,0.17
0.001,100,l1,Train,0.34,0.22,0.39,0.28,0.26,0.35,0.39,0.21,0.19,0.22
