alpha,max_iter,penalty,type,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10
0.0001,100,l2,Train,0.19,0.3,0.2,0.28,0.23,0.21,0.22,0.17,0.34,0.24
0.0001,100,l2,Test,0.16,0.23,0.16,0.22,0.18,0.15,0.2,0.16,0.21,0.15
0.0001,100,l1,Train,0.34,0.44,0.34,0.38,0.56,0.41,0.45,0.53,0.47,0.24
0.0001,100,l1,Test,0.2,0.22,0.14,0.21,0.26,0.24,0.22,0.22,0.23,0.16
0.0001,100,elasticnet,Train,0.22,0.3,0.22,0.31,0.2,0.22,0.23,0.26,0.16,0.26
0.0001,100,elasticnet,Test,0.16,0.26,0.16,0.22,0.17,0.21,0.17,0.17,0.14,0.19
0.0001,500,l2,Train,0.21,0.23,0.21,0.15,0.26,0.21,0.15,0.31,0.36,0.28
0.0001,500,l2,Test,0.18,0.2,0.15,0.15,0.19,0.16,0.14,0.22,0.26,0.21
0.0001,500,l1,Train,0.48,0.6,0.57,0.49,0.55,0.5,0.53,0.62,0.46,0.62
0.0001,500,l1,Test,0.25,0.27,0.24,0.24,0.32,0.27,0.21,0.24,0.2,0.27
0.0001,500,elasticnet,Train,0.28,0.25,0.17,0.2,0.34,0.23,0.32,0.21,0.36,0.29
0.0001,500,elasticnet,Test,0.19,0.21,0.16,0.18,0.22,0.18,0.18,0.2,0.25,0.24
0.0001,1000,l2,Train,0.19,0.15,0.27,0.28,0.3,0.26,0.26,0.2,0.28,0.27
0.0001,1000,l2,Test,0.16,0.15,0.2,0.2,0.18,0.2,0.17,0.16,0.2,0.2
0.0001,1000,l1,Train,0.49,0.54,0.52,0.5,0.43,0.4,0.49,0.56,0.41,0.45
0.0001,1000,l1,Test,0.29,0.22,0.19,0.22,0.28,0.26,0.2,0.22,0.18,0.2
0.0001,1000,elasticnet,Train,0.28,0.35,0.19,0.24,0.2,0.25,0.32,0.27,0.18,0.31
