0.0001,100,l2,Train,0.2,0.26,0.24,0.3,0.29,0.25,0.19,0.24,0.26,0.23
0.0001,100,l2,Test,0.19,0.24,0.2,0.25,0.19,0.23,0.17,0.17,0.23,0.19
0.0001,100,l1,Train,0.55,0.52,0.46,0.5,0.54,0.37,0.48,0.41,0.46,0.48
0.0001,100,l1,Test,0.25,0.24,0.22,0.29,0.25,0.19,0.24,0.25,0.27,0.26
0.0001,100,elasticnet,Train,0.15,0.24,0.24,0.2,0.27,0.19,0.26,0.28,0.15,0.31
0.0001,100,elasticnet,Test,0.15,0.21,0.21,0.19,0.2,0.15,0.21,0.23,0.15,0.22
0.0001,500,l2,Train,0.31,0.19,0.27,0.27,0.14,0.3,0.19,0.22,0.29,0.19
0.0001,500,l2,Test,0.24,0.17,0.21,0.25,0.14,0.23,0.17,0.2,0.22,0.17
0.0001,500,l1,Train,0.56,0.39,0.39,0.43,0.5,0.46,0.4,0.24,0.48,0.31
0.0001,500,l1,Test,0.31,0.18,0.21,0.27,0.24,0.26,0.2,0.15,0.27,0.18
0.0001,500,elasticnet,Train,0.16,0.32,0.24,0.2,0.29,0.2,0.23,0.31,0.16,0.2
0.0001,500,elasticnet,Test,0.14,0.23,0.17,0.21,0.19,0.19,0.17,0.22,0.14,0.16
0.0001,1000,l2,Train,0.31,0.23,0.16,0.28,0.29,0.2,0.26,0.24,0.21,0.16
0.0001,1000,l2,Test,0.28,0.17,0.16,0.29,0.25,0.18,0.23,0.2,0.17,0.16
0.0001,1000,l1,Train,0.49,0.58,0.37,0.51,0.44,0.36,0.26,0.48,0.46,0.37
0.0001,1000,l1,Test,0.3,0.24,0.24,0.3,0.25,0.21,0.16,0.29,0.27,0.18
0.0001,1000,elasticnet,Train,0.22,0.3,0.2,0.23,0.27,0.27,0.25,0.32,0.29,0.24
0.0001,1000,elasticnet,Test,0.2,0.21,0.16,0.21,0.19,0.22,0.21,0.2,0.21,0.2
0.001,100,l2,Train,0.16,0.17,0.15,0.15,0.15,0.18,0.2,0.21,0.18,0.14
0.001,100,l2,Test,0.15,0.16,0.14,0.14,0.15,0.15,0.19,0.21,0.19,0.15
0.001,100,l1,Train,0.27,0.31,0.23,0.27,0.33,0.21,0.29,0.29,0.28,0.15
0.001,100,l1,Test,0.24,0.24,0.18,0.25,0.23,0.16,0.2,0.25,0.23,0.15
0.001,100,elasticnet,Train,0.19,0.23,0.17,0.2,0.14,0.18,0.17,0.18,0.19,0.19
0.001,100,elasticnet,Test,0.16,0.19,0.15,0.18,0.14,0.19,0.16,0.15,0.17,0.15
0.001,500,l2,Train,0.16,0.2,0.19,0.14,0.17,0.15,0.18,0.14,0.17,0.15
0.001,500,l2,Test,0.17,0.18,0.16,0.14,0.15,0.14,0.15,0.15,0.16,0.15
0.001,500,l1,Train,0.28,0.23,0.27,0.33,0.32,0.3,0.3,0.16,0.16,0.28
0.001,500,l1,Test,0.22,0.18,0.22,0.26,0.19,0.19,0.2,0.15,0.16,0.23
0.001,500,elasticnet,Train,0.15,0.25,0.14,0.17,0.15,0.21,0.15,0.18,0.15,0.17
0.001,500,elasticnet,Test,0.16,0.22,0.14,0.13,0.15,0.19,0.15,0.15,0.14,0.17
0.001,1000,l2,Train,0.19,0.2,0.17,0.15,0.17,0.18,0.17,0.16,0.18,0.22
0.001,1000,l2,Test,0.19,0.15,0.17,0.14,0.14,0.18,0.17,0.16,0.15,0.19
0.001,1000,l1,Train,0.25,0.2,0.18,0.23,0.3,0.31,0.18,0.26,0.28,0.25
0.001,1000,l1,Test,0.2,0.18,0.17,0.22,0.22,0.23,0.18,0.23,0.22,0.22
0.001,1000,elasticnet,Train,0.2,0.17,0.17,0.18,0.17,0.14,0.14,0.15,0.14,0.16
0.001,1000,elasticnet,Test,0.15,0.17,0.17,0.17,0.17,0.15,0.14,0.16,0.14,0.15
0.01,100,l2,Train,0.14,0.14,0.16,0.15,0.15,0.15,0.15,0.14,0.14,0.14
0.01,100,l2,Test,0.14,0.14,0.15,0.16,0.15,0.13,0.17,0.14,0.14,0.14
0.01,100,l1,Train,0.14,0.14,0.15,0.16,0.14,0.14,0.14,0.14,0.18,0.17
