l1,0.0001,100,Train,0.323
l1,0.0001,100,Test,0.209
l1,0.0001,110,Train,0.46
l1,0.0001,110,Test,0.229
l1,0.0001,120,Train,0.343
l1,0.0001,120,Test,0.209
l1,0.0001,130,Train,0.511
l1,0.0001,130,Test,0.211
l1,0.0001,140,Train,0.506
l1,0.0001,140,Test,0.274
l1,0.0001,150,Train,0.428
l1,0.0001,150,Test,0.243
l1,0.0001,160,Train,0.55
l1,0.0001,160,Test,0.3
l1,0.0001,170,Train,0.553
l1,0.0001,170,Test,0.291
l1,0.0001,180,Train,0.473
l1,0.0001,180,Test,0.249
l1,0.0001,190,Train,0.456
l1,0.0001,190,Test,0.277
l1,0.0001,200,Train,0.41
l1,0.0001,200,Test,0.206
l1,0.0001,210,Train,0.344
l1,0.0001,210,Test,0.171
l1,0.0001,220,Train,0.361
l1,0.0001,220,Test,0.197
l1,0.0001,230,Train,0.487
l1,0.0001,230,Test,0.266
l1,0.0001,240,Train,0.319
l1,0.0001,240,Test,0.186
l1,0.0001,250,Train,0.402
l1,0.0001,250,Test,0.24
l1,0.0001,260,Train,0.508
l1,0.0001,260,Test,0.24
l1,0.0001,270,Train,0.275
l1,0.0001,270,Test,0.186
l1,0.0001,280,Train,0.5
l1,0.0001,280,Test,0.246
l1,0.0001,290,Train,0.367
l1,0.0001,290,Test,0.266
l1,0.0001,300,Train,0.285
l1,0.0001,300,Test,0.191
l1,0.0001,310,Train,0.604
l1,0.0001,310,Test,0.26
l1,0.0001,320,Train,0.443
l1,0.0001,320,Test,0.194
l1,0.0001,330,Train,0.567
l1,0.0001,330,Test,0.226
l1,0.0001,340,Train,0.492
l1,0.0001,340,Test,0.246
l1,0.0001,350,Train,0.449
l1,0.0001,350,Test,0.249
l1,0.0001,360,Train,0.552
l1,0.0001,360,Test,0.251
l1,0.0001,370,Train,0.379
l1,0.0001,370,Test,0.206
l1,0.0001,380,Train,0.474
l1,0.0001,380,Test,0.263
l1,0.0001,390,Train,0.447
l1,0.0001,390,Test,0.209
l1,0.0001,400,Train,0.414
l1,0.0001,400,Test,0.194
l1,0.0001,410,Train,0.513
l1,0.0001,410,Test,0.277
l1,0.0001,420,Train,0.438
l1,0.0001,420,Test,0.271
l1,0.0001,430,Train,0.427
l1,0.0001,430,Test,0.26
l1,0.0001,440,Train,0.535
l1,0.0001,440,Test,0.254
l1,0.0001,450,Train,0.266
l1,0.0001,450,Test,0.163
l1,0.0001,460,Train,0.469
l1,0.0001,460,Test,0.266
l1,0.0001,470,Train,0.44
l1,0.0001,470,Test,0.234
l1,0.0001,480,Train,0.367
l1,0.0001,480,Test,0.206
l1,0.0001,490,Train,0.295
l1,0.0001,490,Test,0.209
l1,0.0001,500,Train,0.465
l1,0.0001,500,Test,0.286
l1,0.0001,510,Train,0.291
l1,0.0001,510,Test,0.18
l1,0.0001,520,Train,0.403
l1,0.0001,520,Test,0.223
l1,0.0001,530,Train,0.297
l1,0.0001,530,Test,0.206
l1,0.0001,540,Train,0.536
l1,0.0001,540,Test,0.269
l1,0.0001,550,Train,0.467
l1,0.0001,550,Test,0.206
l1,0.0001,560,Train,0.496
l1,0.0001,560,Test,0.254
l1,0.0001,570,Train,0.526
l1,0.0001,570,Test,0.214
l1,0.0001,580,Train,0.332
l1,0.0001,580,Test,0.191
l1,0.0001,590,Train,0.448
l1,0.0001,590,Test,0.234
l1,0.0001,600,Train,0.514
l1,0.0001,600,Test,0.269
l1,0.0001,610,Train,0.423
l1,0.0001,610,Test,0.223
l1,0.0001,620,Train,0.276
l1,0.0001,620,Test,0.194
l1,0.0001,630,Train,0.311
l1,0.0001,630,Test,0.22
l1,0.0001,640,Train,0.307
l1,0.0001,640,Test,0.22
l1,0.0001,650,Train,0.487
l1,0.0001,650,Test,0.257
