alpha,max_iter,penalty,type,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10
0.0001,100,l2,Train,0.24,0.19,0.29,0.19,0.21,0.25,0.26,0.27,0.3,0.29
0.0001,100,l2,Test,0.2,0.19,0.21,0.2,0.17,0.21,0.21,0.16,0.24,0.2
0.0001,100,l1,Train,0.39,0.37,0.55,0.32,0.24,0.41,0.47,0.31,0.15,0.42
0.0001,100,l1,Test,0.29,0.31,0.37,0.21,0.24,0.29,0.24,0.21,0.14,0.29
0.0001,100,elasticnet,Train,0.2,0.37,0.14,0.29,0.24,0.37,0.22,0.37,0.24,0.42
0.0001,100,elasticnet,Test,0.17,0.27,0.14,0.21,0.17,0.27,0.2,0.27,0.23,0.29
0.0001,500,l2,Train,0.3,0.28,0.19,0.14,0.29,0.36,0.3,0.15,0.29,0.14
0.0001,500,l2,Test,0.27,0.2,0.14,0.14,0.23,0.27,0.26,0.17,0.29,0.14
0.0001,500,l1,Train,0.44,0.38,0.45,0.37,0.42,0.33,0.26,0.26,0.38,0.25
0.0001,500,l1,Test,0.26,0.23,0.3,0.27,0.21,0.23,0.2,0.17,0.24,0.17
0.0001,500,elasticnet,Train,0.26,0.24,0.32,0.37,0.32,0.17,0.42,0.18,0.24,0.29
0.0001,500,elasticnet,Test,0.19,0.17,0.19,0.27,0.27,0.2,0.24,0.17,0.21,0.17
0.0001,1000,l2,Train,0.28,0.24,0.17,0.22,0.4,0.29,0.36,0.29,0.18,0.26
0.0001,1000,l2,Test,0.17,0.21,0.17,0.21,0.29,0.21,0.26,0.26,0.19,0.2
0.0001,1000,l1,Train,0.32,0.33,0.26,0.4,0.51,0.38,0.27,0.32,0.27,0.23
0.0001,1000,l1,Test,0.24,0.17,0.16,0.33,0.23,0.27,0.21,0.27,0.19,0.16
0.0001,1000,elasticnet,Train,0.38,0.21,0.37,0.19,0.26,0.25,0.14,0.14,0.22,0.33
0.0001,1000,elasticnet,Test,0.21,0.11,0.34,0.14,0.23,0.23,0.14,0.14,0.17,0.21
0.001,100,l2,Train,0.23,0.18,0.3,0.17,0.25,0.14,0.28,0.16,0.14,0.14
0.001,100,l2,Test,0.2,0.16,0.26,0.16,0.19,0.14,0.21,0.16,0.14,0.14
0.001,100,l1,Train,0.33,0.38,0.42,0.44,0.37,0.35,0.4,0.2,0.27,0.36
0.001,100,l1,Test,0.24,0.29,0.29,0.27,0.21,0.27,0.16,0.2,0.21,0.21
0.001,100,elasticnet,Train,0.15,0.17,0.14,0.17,0.24,0.19,0.2,0.21,0.14,0.15
0.001,100,elasticnet,Test,0.13,0.16,0.14,0.19,0.19,0.19,0.23,0.21,0.14,0.14
0.001,500,l2,Train,0.21,0.14,0.14,0.2,0.15,0.17,0.24,0.22,0.2,0.22
0.001,500,l2,Test,0.14,0.14,0.14,0.16,0.14,0.17,0.2,0.23,0.21,0.23
0.001,500,l1,Train,0.34,0.34,0.44,0.36,0.3,0.24,0.29,0.23,0.39,0.31
0.001,500,l1,Test,0.24,0.17,0.27,0.31,0.17,0.24,0.21,0.2,0.29,0.2
0.001,500,elasticnet,Train,0.15,0.26,0.18,0.14,0.16,0.14,0.23,0.14,0.23,0.18
0.001,500,elasticnet,Test,0.14,0.19,0.16,0.14,0.14,0.14,0.21,0.14,0.2,0.16
0.001,1000,l2,Train,0.14,0.31,0.15,0.16,0.14,0.29,0.25,0.14,0.14,0.25
0.001,1000,l2,Test,0.14,0.26,0.14,0.16,0.14,0.26,0.24,0.14,0.14,0.23
0.001,1000,l1,Train,0.31,0.31,0.43,0.4,0.36,0.36,0.38,0.37,0.27,0.36
0.001,1000,l1,Test,0.26,0.3,0.21,0.27,0.31,0.27,0.26,0.29,0.21,0.21
0.001,1000,elasticnet,Train,0.2,0.14,0.18,0.18,0.18,0.14,0.22,0.14,0.21,0.19
0.001,1000,elasticnet,Test,0.24,0.14,0.17,0.2,0.17,0.14,0.2,0.13,0.11,0.16
0.01,100,l2,Train,0.14,0.14,0.17,0.16,0.14,0.14,0.14,0.16,0.17,0.18
0.01,100,l2,Test,0.14,0.14,0.11,0.17,0.14,0.14,0.14,0.16,0.14,0.17
0.01,100,l1,Train,0.25,0.28,0.24,0.27,0.25,0.26,0.22,0.2,0.24,0.18
0.01,100,l1,Test,0.17,0.29,0.26,0.21,0.23,0.24,0.19,0.27,0.24,0.19
0.01,100,elasticnet,Train,0.14,0.14,0.16,0.14,0.14,0.17,0.14,0.14,0.14,0.14
