alpha,max_iter,penalty,type,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10
0.0001,100,l2,Train,0.34,0.25,0.26,0.16,0.15,0.34,0.28,0.21,0.25,0.31
0.0001,100,l2,Test,0.32,0.22,0.25,0.15,0.14,0.26,0.3,0.17,0.19,0.26
0.0001,100,l1,Train,0.28,0.31,0.4,0.27,0.44,0.23,0.42,0.29,0.46,0.29
0.0001,100,l1,Test,0.25,0.25,0.27,0.23,0.29,0.19,0.31,0.22,0.29,0.22
0.0001,100,elasticnet,Train,0.3,0.35,0.15,0.16,0.25,0.16,0.22,0.22,0.3,0.19
0.0001,100,elasticnet,Test,0.27,0.31,0.14,0.15,0.23,0.15,0.23,0.17,0.27,0.15
0.0001,500,l2,Train,0.3,0.34,0.32,0.2,0.33,0.24,0.3,0.18,0.15,0.19
0.0001,500,l2,Test,0.31,0.3,0.28,0.18,0.29,0.16,0.27,0.17,0.15,0.17
0.0001,500,l1,Train,0.2,0.38,0.26,0.41,0.21,0.22,0.36,0.39,0.44,0.3
0.0001,500,l1,Test,0.17,0.24,0.22,0.26,0.19,0.15,0.32,0.3,0.3,0.25
0.0001,500,elasticnet,Train,0.33,0.33,0.16,0.33,0.34,0.19,0.14,0.24,0.29,0.31
0.0001,500,elasticnet,Test,0.25,0.31,0.14,0.34,0.31,0.17,0.14,0.22,0.2,0.31
0.0001,1000,l2,Train,0.2,0.2,0.22,0.14,0.3,0.21,0.17,0.34,0.28,0.26
0.0001,1000,l2,Test,0.18,0.18,0.15,0.14,0.26,0.15,0.16,0.32,0.22,0.25
0.0001,1000,l1,Train,0.43,0.34,0.35,0.52,0.37,0.27,0.37,0.34,0.37,0.35
0.0001,1000,l1,Test,0.33,0.3,0.25,0.34,0.25,0.23,0.3,0.29,0.26,0.31
0.0001,1000,elasticnet,Train,0.23,0.15,0.28,0.35,0.17,0.21,0.24,0.26,0.22,0.37
0.0001,1000,elasticnet,Test,0.23,0.14,0.28,0.3,0.18,0.16,0.23,0.27,0.18,0.31
0.001,100,l2,Train,0.15,0.14,0.17,0.17,0.14,0.18,0.17,0.2,0.14,0.23
0.001,100,l2,Test,0.15,0.14,0.16,0.14,0.14,0.17,0.18,0.19,0.14,0.21
0.001,100,l1,Train,0.33,0.32,0.39,0.25,0.18,0.35,0.38,0.23,0.15,0.3
0.001,100,l1,Test,0.27,0.27,0.34,0.23,0.16,0.23,0.29,0.21,0.14,0.26
0.001,100,elasticnet,Train,0.18,0.17,0.18,0.17,0.15,0.16,0.14,0.22,0.2,0.2
