0.0001,100,l2,Train,0.2,0.14,0.34,0.2,0.27,0.29,0.23,0.28,0.17,0.28
0.0001,100,l2,Test,0.19,0.14,0.29,0.21,0.23,0.26,0.21,0.25,0.18,0.25
0.0001,100,l1,Train,0.21,0.36,0.34,0.41,0.38,0.36,0.28,0.32,0.37,0.27
0.0001,100,l1,Test,0.19,0.29,0.29,0.35,0.3,0.29,0.22,0.24,0.29,0.23
0.0001,100,elasticnet,Train,0.15,0.24,0.24,0.28,0.15,0.32,0.15,0.28,0.23,0.19
0.0001,100,elasticnet,Test,0.16,0.23,0.22,0.27,0.15,0.25,0.15,0.25,0.2,0.18
0.0001,500,l2,Train,0.17,0.27,0.29,0.2,0.16,0.16,0.22,0.27,0.28,0.24
0.0001,500,l2,Test,0.16,0.23,0.26,0.18,0.16,0.17,0.2,0.27,0.27,0.22
0.0001,500,l1,Train,0.3,0.27,0.36,0.27,0.34,0.19,0.36,0.18,0.37,0.17
0.0001,500,l1,Test,0.23,0.24,0.3,0.26,0.28,0.18,0.24,0.2,0.3,0.16
0.0001,500,elasticnet,Train,0.17,0.23,0.22,0.3,0.2,0.15,0.36,0.27,0.16,0.16
0.0001,500,elasticnet,Test,0.17,0.24,0.21,0.3,0.16,0.16,0.32,0.24,0.16,0.17
0.0001,1000,l2,Train,0.24,0.17,0.28,0.23,0.2,0.2,0.18,0.26,0.25,0.19
0.0001,1000,l2,Test,0.21,0.16,0.26,0.21,0.19,0.19,0.15,0.25,0.22,0.17
0.0001,1000,l1,Train,0.33,0.2,0.35,0.22,0.31,0.4,0.45,0.21,0.38,0.4
0.0001,1000,l1,Test,0.28,0.18,0.3,0.24,0.26,0.3,0.3,0.2,0.33,0.33
0.0001,1000,elasticnet,Train,0.31,0.16,0.31,0.24,0.2,0.15,0.14,0.27,0.3,0.31
0.0001,1000,elasticnet,Test,0.28,0.15,0.24,0.25,0.18,0.15,0.14,0.28,0.29,0.3
0.001,100,l2,Train,0.18,0.16,0.17,0.14,0.14,0.25,0.15,0.22,0.26,0.14
0.001,100,l2,Test,0.17,0.15,0.17,0.14,0.14,0.24,0.15,0.21,0.26,0.14
0.001,100,l1,Train,0.28,0.23,0.25,0.25,0.28,0.24,0.22,0.35,0.27,0.35
0.001,100,l1,Test,0.24,0.2,0.25,0.23,0.28,0.21,0.22,0.34,0.25,0.31
0.001,100,elasticnet,Train,0.24,0.15,0.14,0.14,0.16,0.14,0.14,0.14,0.14,0.21
0.001,100,elasticnet,Test,0.22,0.15,0.15,0.15,0.16,0.14,0.14,0.14,0.14,0.21
0.001,500,l2,Train,0.15,0.14,0.14,0.15,0.24,0.15,0.21,0.22,0.15,0.16
0.001,500,l2,Test,0.15,0.14,0.14,0.14,0.23,0.15,0.18,0.2,0.15,0.15
0.001,500,l1,Train,0.23,0.25,0.29,0.18,0.27,0.22,0.2,0.21,0.3,0.37
0.001,500,l1,Test,0.2,0.25,0.25,0.21,0.24,0.23,0.18,0.19,0.26,0.32
0.001,500,elasticnet,Train,0.15,0.27,0.14,0.18,0.28,0.14,0.2,0.22,0.16,0.22
0.001,500,elasticnet,Test,0.13,0.24,0.14,0.19,0.29,0.14,0.2,0.19,0.15,0.23
0.001,1000,l2,Train,0.23,0.17,0.17,0.24,0.19,0.14,0.22,0.26,0.16,0.18
0.001,1000,l2,Test,0.21,0.17,0.17,0.23,0.19,0.14,0.2,0.28,0.13,0.19
0.001,1000,l1,Train,0.23,0.26,0.36,0.15,0.23,0.28,0.24,0.24,0.25,0.3
