alpha,max_iter,penalty,type,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10
0.0001,100,l2,Train,0.3,0.18,0.25,0.32,0.26,0.36,0.23,0.2,0.15,0.28
0.0001,100,l2,Test,0.23,0.16,0.21,0.21,0.19,0.19,0.22,0.18,0.14,0.21
0.0001,100,l1,Train,0.47,0.48,0.62,0.54,0.5,0.22,0.54,0.58,0.42,0.59
0.0001,100,l1,Test,0.24,0.22,0.24,0.22,0.26,0.16,0.26,0.26,0.18,0.25
0.0001,100,elasticnet,Train,0.23,0.38,0.39,0.2,0.22,0.31,0.27,0.2,0.24,0.27
0.0001,100,elasticnet,Test,0.19,0.26,0.27,0.15,0.15,0.17,0.21,0.15,0.17,0.18
0.0001,500,l2,Train,0.28,0.26,0.2,0.28,0.35,0.31,0.36,0.33,0.23,0.33
0.0001,500,l2,Test,0.17,0.23,0.16,0.18,0.21,0.19,0.23,0.24,0.18,0.22
0.0001,500,l1,Train,0.6,0.5,0.61,0.63,0.55,0.58,0.59,0.38,0.4,0.56
0.0001,500,l1,Test,0.3,0.2,0.25,0.24,0.2,0.21,0.29,0.19,0.17,0.23
0.0001,500,elasticnet,Train,0.31,0.22,0.19,0.32,0.2,0.25,0.36,0.36,0.28,0.18
0.0001,500,elasticnet,Test,0.2,0.18,0.2,0.19,0.17,0.21,0.18,0.25,0.17,0.15
0.0001,1000,l2,Train,0.22,0.34,0.19,0.23,0.2,0.28,0.29,0.19,0.35,0.32
0.0001,1000,l2,Test,0.18,0.22,0.16,0.14,0.18,0.17,0.21,0.17,0.23,0.18
0.0001,1000,l1,Train,0.53,0.43,0.3,0.47,0.56,0.45,0.34,0.34,0.31,0.59
0.0001,1000,l1,Test,0.19,0.23,0.17,0.16,0.29,0.17,0.24,0.22,0.17,0.23
0.0001,1000,elasticnet,Train,0.19,0.15,0.16,0.26,0.37,0.34,0.31,0.26,0.27,0.15
0.0001,1000,elasticnet,Test,0.15,0.14,0.14,0.14,0.19,0.19,0.25,0.22,0.2,0.14
0.001,100,l2,Train,0.17,0.24,0.22,0.14,0.17,0.23,0.2,0.2,0.22,0.15
