alpha,max_iter,penalty,type,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10
0.0001,100,l2,Train,0.32,0.27,0.18,0.14,0.24,0.16,0.3,0.39,0.31,0.33
0.0001,100,l2,Test,0.21,0.24,0.17,0.14,0.23,0.15,0.25,0.29,0.23,0.23
0.0001,100,l1,Train,0.38,0.31,0.28,0.32,0.21,0.42,0.32,0.22,0.4,0.41
0.0001,100,l1,Test,0.28,0.26,0.19,0.26,0.18,0.27,0.22,0.16,0.22,0.27
0.0001,100,elasticnet,Train,0.32,0.32,0.24,0.35,0.26,0.21,0.21,0.16,0.29,0.26
0.0001,100,elasticnet,Test,0.27,0.28,0.21,0.3,0.22,0.15,0.18,0.15,0.25,0.24
0.0001,500,l2,Train,0.28,0.3,0.31,0.3,0.22,0.2,0.26,0.32,0.3,0.35
0.0001,500,l2,Test,0.18,0.23,0.3,0.3,0.17,0.15,0.21,0.19,0.27,0.19
0.0001,500,l1,Train,0.39,0.33,0.15,0.32,0.41,0.39,0.28,0.4,0.47,0.44
0.0001,500,l1,Test,0.25,0.3,0.15,0.29,0.24,0.27,0.2,0.25,0.33,0.22
0.0001,500,elasticnet,Train,0.19,0.4,0.26,0.38,0.33,0.35,0.18,0.15,0.15,0.16
0.0001,500,elasticnet,Test,0.18,0.3,0.19,0.3,0.2,0.29,0.15,0.15,0.14,0.18
0.0001,1000,l2,Train,0.22,0.29,0.29,0.31,0.42,0.36,0.28,0.26,0.21,0.23
0.0001,1000,l2,Test,0.15,0.25,0.25,0.32,0.3,0.31,0.23,0.24,0.22,0.19
0.0001,1000,l1,Train,0.42,0.19,0.3,0.26,0.32,0.25,0.37,0.36,0.3,0.3
0.0001,1000,l1,Test,0.28,0.16,0.24,0.22,0.2,0.15,0.28,0.21,0.24,0.18
0.0001,1000,elasticnet,Train,0.33,0.32,0.17,0.35,0.15,0.22,0.43,0.28,0.31,0.24
0.0001,1000,elasticnet,Test,0.3,0.24,0.15,0.3,0.14,0.22,0.34,0.2,0.24,0.18
0.001,100,l2,Train,0.14,0.14,0.18,0.3,0.23,0.15,0.23,0.14,0.17,0.19
0.001,100,l2,Test,0.14,0.14,0.17,0.25,0.19,0.16,0.21,0.14,0.16,0.2
0.001,100,l1,Train,0.35,0.23,0.32,0.38,0.29,0.16,0.17,0.33,0.38,0.3
0.001,100,l1,Test,0.26,0.21,0.2,0.33,0.27,0.16,0.16,0.26,0.25,0.19
0.001,100,elasticnet,Train,0.14,0.23,0.27,0.23,0.14,0.21,0.18,0.14,0.14,0.23
0.001,100,elasticnet,Test,0.14,0.11,0.28,0.22,0.14,0.2,0.14,0.14,0.14,0.19
0.001,500,l2,Train,0.14,0.14,0.19,0.14,0.24,0.22,0.26,0.19,0.19,0.14
0.001,500,l2,Test,0.14,0.14,0.22,0.14,0.18,0.22,0.17,0.13,0.17,0.14
0.001,500,l1,Train,0.21,0.26,0.32,0.22,0.28,0.41,0.33,0.24,0.33,0.32
0.001,500,l1,Test,0.16,0.21,0.22,0.19,0.16,0.32,0.27,0.2,0.25,0.23
0.001,500,elasticnet,Train,0.14,0.16,0.18,0.14,0.14,0.15,0.16,0.15,0.14,0.25
0.001,500,elasticnet,Test,0.14,0.14,0.17,0.14,0.14,0.16,0.15,0.13,0.14,0.17
0.001,1000,l2,Train,0.18,0.18,0.16,0.14,0.14,0.2,0.18,0.14,0.2,0.18
0.001,1000,l2,Test,0.17,0.18,0.15,0.14,0.14,0.13,0.2,0.14,0.16,0.16
0.001,1000,l1,Train,0.28,0.2,0.17,0.41,0.32,0.16,0.28,0.29,0.29,0.36
0.001,1000,l1,Test,0.25,0.18,0.14,0.36,0.3,0.14,0.23,0.23,0.28,0.26
0.001,1000,elasticnet,Train,0.15,0.18,0.14,0.25,0.22,0.16,0.29,0.19,0.15,0.15
0.001,1000,elasticnet,Test,0.15,0.17,0.14,0.29,0.24,0.16,0.27,0.16,0.15,0.15
0.01,100,l2,Train,0.14,0.14,0.14,0.14,0.14,0.14,0.15,0.14,0.16,0.15
0.01,100,l2,Test,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.15,0.15
0.01,100,l1,Train,0.21,0.15,0.15,0.2,0.25,0.22,0.16,0.23,0.23,0.18
0.01,100,l1,Test,0.19,0.16,0.16,0.26,0.23,0.22,0.17,0.18,0.23,0.19
0.01,100,elasticnet,Train,0.14,0.14,0.14,0.14,0.18,0.14,0.14,0.14,0.14,0.14
0.01,100,elasticnet,Test,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14
0.01,500,l2,Train,0.14,0.14,0.14,0.17,0.14,0.16,0.14,0.19,0.14,0.14
0.01,500,l2,Test,0.14,0.14,0.14,0.19,0.14,0.15,0.14,0.17,0.14,0.14
0.01,500,l1,Train,0.24,0.2,0.24,0.22,0.19,0.15,0.14,0.22,0.25,0.24
0.01,500,l1,Test,0.22,0.25,0.25,0.23,0.19,0.13,0.14,0.23,0.26,0.2
0.01,500,elasticnet,Train,0.14,0.15,0.14,0.2,0.14,0.14,0.18,0.14,0.17,0.14
0.01,500,elasticnet,Test,0.14,0.16,0.14,0.19,0.15,0.14,0.16,0.14,0.15,0.14
0.01,1000,l2,Train,0.14,0.16,0.19,0.14,0.14,0.14,0.16,0.14,0.15,0.14
0.01,1000,l2,Test,0.14,0.17,0.2,0.14,0.14,0.14,0.14,0.14,0.14,0.14
0.01,1000,l1,Train,0.23,0.16,0.24,0.22,0.24,0.22,0.14,0.2,0.25,0.15
0.01,1000,l1,Test,0.19,0.17,0.24,0.23,0.24,0.23,0.14,0.21,0.25,0.14
0.01,1000,elasticnet,Train,0.14,0.14,0.14,0.14,0.17,0.14,0.14,0.14,0.14,0.14
0.01,1000,elasticnet,Test,0.14,0.14,0.14,0.13,0.16,0.14,0.14,0.14,0.14,0.14
