0.01,scale,Train,0.282
0.01,scale,Test,0.269
0.01,auto,Train,0.287
0.01,auto,Test,0.271
0.01,0.01,Train,0.395
0.01,0.01,Test,0.269
0.01,0.1,Train,0.875
0.01,0.1,Test,0.163
0.01,1,Train,0.866
0.01,1,Test,0.154
0.01,10,Train,0.866
0.01,10,Test,0.154
0.01,100,Train,0.734
0.01,100,Test,0.149
0.1,scale,Train,0.292
0.1,scale,Test,0.254
0.1,auto,Train,0.296
0.1,auto,Test,0.271
0.1,0.01,Train,0.435
0.1,0.01,Test,0.294
0.1,0.1,Train,0.875
0.1,0.1,Test,0.163
0.1,1,Train,0.866
0.1,1,Test,0.154
0.1,10,Train,0.866
0.1,10,Test,0.154
0.1,100,Train,0.866
0.1,100,Test,0.154
1,scale,Train,0.389
1,scale,Test,0.343
1,auto,Train,0.401
1,auto,Test,0.357
1,0.01,Train,0.911
1,0.01,Test,0.391
1,0.1,Train,1.0
1,0.1,Test,0.211
1,1,Train,1.0
1,1,Test,0.177
1,10,Train,1.0
1,10,Test,0.177
1,100,Train,1.0
1,100,Test,0.177
10,scale,Train,0.528
10,scale,Test,0.434
10,auto,Train,0.562
10,auto,Test,0.437
10,0.01,Train,1.0
10,0.01,Test,0.351
10,0.1,Train,1.0
10,0.1,Test,0.22
10,1,Train,1.0
10,1,Test,0.177
10,10,Train,1.0
10,10,Test,0.177
10,100,Train,1.0
10,100,Test,0.177
100,scale,Train,0.849
100,scale,Test,0.38
100,auto,Train,0.913
100,auto,Test,0.374
100,0.01,Train,1.0
100,0.01,Test,0.351
100,0.1,Train,1.0
100,0.1,Test,0.22
100,1,Train,1.0
100,1,Test,0.177
100,10,Train,1.0
100,10,Test,0.177
100,100,Train,1.0
100,100,Test,0.177
